op_id,name,machine,tool,workholding,datum,inputs,outputs,checks,notes
OP-010,Review design package and pilot gate,Bench,"README.md, design.md, calipers, tuner","Flat bench, drawing packet","Top face A, left end B, bar centerline C","design.md; family-spec.csv; drawings/arch-undercut-section.svg; validation.csv","pilot-build checklist","C3/A4/C6 pilot bars identified; actual wood species and tube bore confirmed","Do not cut full set until pilot bars validate K constant and arch schedule."
OP-110,Surface and thickness bar blanks,Jointer/planer/drum sander,"Jointer knives, planer, drum sander, calipers","Flat carrier board, push blocks","Top face A and grain arrow","cut-list.csv; family-spec.csv","37 surfaced oversize blanks","Thickness 0.875 in +/- 0.005; grain direction logged; defects outside finished area","Leave length and width allowance for tabs and final tuning cleanup."
OP-120,Label blanks and mark nodes,Bench,"Marking knife, square, center punch, calipers","Flat bench with stop block","Left end B and centerline C","family-spec.csv; drawings/*-body.svg","Labeled blanks with note, target Hz, nodes","node_1 and node_2 match family-spec.csv; top face remains marked","Cord/support holes belong at free-free nodes."
OP-210,Prepare CNC fixture and datum verification,CNC router,"Spoilboard surfacing bit, edge finder/probe, clamps/tape","Replaceable spoilboard, datum fence, optional vacuum plus clamps","Machine X0 at left end B, Y0 at centerline C, Z0 top face A","cnc/setup-sheet.md; drawings/arch-undercut-section.svg","Verified fixture and air-cut report","Spoilboard surfaced; clamps clear toolpath; sample air-cut passes","This operation creates confidence before Padauk is loaded."
OP-220,Rough profile bars with tabs,CNC router,"1/4 in downcut spiral; optional 1/8 in upcut for small reliefs","Spoilboard tape/clamps, tabs at non-vibrating ends","Top face A, left end B, centerline C","family-spec.csv; cad/design-table-inputs.csv","Profiled bar blanks with tabs","Tabs do not overlap node holes or arch region; final length retains tuning allowance","Use conservative depth per pass and preserve labeled orientation."
OP-230,3D arch underside relief,CNC router,"3/4 in ball-end mill; 1/2 in ball-end for treble alternative","Cradle or flip fixture supporting top face without denting","Top face A re-referenced after flip; left end B retained","family-spec.csv; drawings/arch-undercut-section.svg","Underside arch cut on each bar","Center thickness never below 0.250 in; arch centered; no chatter/burn","Use parabolic toolpath over about 60 percent of bar length. This is the pitch-lowering operation."
OP-240,Drill support holes at nodes,Drill press or CNC router,"1/4 in brad-point bit or boring tool","Backer board, V/support fixture","Left end B, centerline C","family-spec.csv; generated bar drawings","Clean node/support holes","Hole breakout absent; node positions within +/- 0.020 in; holes deburred","Pilot on scrap before drilling tuned bars."
OP-310,Hand tune bars,Bench,"Soft node supports, tuner, sanding block, scraper, scale","Padded bench, supports at node_1 and node_2","Acoustic node support datum","validation.csv; family-spec.csv","Measured pitch log and tuned bars","Measured Hz recorded at flat/post-arch/post-sand/final; cents error computed","Remove underside center material to lower pitch. Sneak up slowly."
OP-410,Cut and deburr resonator tubes,Chop saw/band saw/tube cutter,"Tube cutter, deburring tool, calipers","Tube V-block, stop block","Tube open end datum","family-spec.csv; sourcing.csv; drawings/resonator-layout.svg","Oversize resonator tubes labeled by note","Tube ID matches updated bore; cut length includes trim allowance; burrs removed","Recalculate lengths if selected bore differs from current proxy."
OP-420,Cap and mount resonators,Bench/drill press,"Drill bits, caps/stoppers, seal material","Tube holding jig, frame mockup","Tube open end and bar centerline","assembly-manual.md; drawings/frame-overview.svg","Mounted adjustable resonators","Caps seal without buzz; tubes clear bars/rails; note labels visible","Use removable caps for first validation build."
OP-510,Build frame and support rails,Table saw/CNC/drill press,"Saw blade, drill bits, router bits","Rail fixture, cross-member clamps","Player-side datum, rail centerlines","drawings/frame-overview.svg; cad/SolidWorks-MasterLayout-Plan.md","Temporary or final support frame","Supports land at nodes; cross members removable; mallet and resonator clearance checked","Temporary validation frame is acceptable before final furniture-grade frame."
OP-900,Final validation and release,Bench,"Chromatic tuner, microphone, calipers, camera","Assembled frame on stable stand","Same support and strike datum used for every note","validation.csv; photo-shotlist.md","Updated validation.csv and process photos","All notes measured; outliers flagged; resonator response notes captured","Do not treat dimensions as final until measured data closes the loop."
