item_id,item,quantity,material_or_spec,status,source_status,notes
B001,P0 key lever,1,hardwood or plywood,planned,available_or_shop_scrap,"Simple lever is enough for P0."
B002,P0 hammer arm,1,hardwood or aluminum flat bar,planned,available_or_shop_scrap,"Leave room for adjustable strike angle."
B003,three-face hammer head,1,printed carrier or small machined hub,planned,measurement_required,"Manual indexing is acceptable for P0."
B004,hammer face samples,3_to_7,rubber/yarn/felt/wood/plastic,planned,unverified_until_purchase,"Use sacrificial samples before final carriers."
B005,P0 tone bar,1,padauk/maple/aluminum/synthetic,planned,unverified_until_purchase,"A4 or C5 coupon recommended."
B006,bar support cord or posts,1_set,braided cord/rubber posts/felt washers,planned,available_or_shop_scrap,"Support at 22.4 percent and 77.6 percent of bar length."
B007,aperture plate,1,plywood/acrylic/aluminum,planned,available_or_shop_scrap,"Use replaceable inserts if possible."
B008,gasket sheet,1,neoprene/silicone/felt,planned,unverified_until_purchase,"Compression set must be measured."
B009,P0 resonator tube,1,PVC/aluminum/cardboard test tube,planned,unverified_until_purchase,"Use adjustable trim or telescoping sleeve."
B010,mini platen clamp,1,toggle clamp or cam lever,planned,unverified_until_purchase,"Must have adjustable hard stop."
B011,resonator bed adjusters,2_to_4,threaded inserts/standoffs/springs,planned,unverified_until_purchase,"Used to test float and slack take-up."
B012,tuner/measurement setup,1,phone app/mic/audio interface,planned,available,"Record pitch, sustain, and attack samples."
B013,P1 key/action hardware,13,TBD,defer,measurement_required,"Do not buy until P0 closes."
B014,P1 tone-bar cassette hardware,1_set,TBD,defer,measurement_required,"Do not dimension until P0/P1 layout is chosen."
