part_id,prototype_stage,part,quantity,dimensions,status,notes
C001,P0,key lever,1,TBD,measurement_required,"Size around comfortable bench testing, not final keyboard geometry."
C002,P0,hammer arm,1,TBD,measurement_required,"Allow adjustable pivot and strike point."
C003,P0,three-face hammer carrier,1,TBD,measurement_required,"Design after selected face sample diameters are known."
C004,P0,A4 padauk flat bar coupon,1,"est 16.28 in long x TBD wide x 0.75 in thick",derived_estimate,"Not cut-ready; tune by measurement."
C005,P0,C5 padauk flat bar coupon,1,"est 14.93 in long x TBD wide x 0.75 in thick",derived_estimate,"Alternative compact P0 note."
C006,P0,A4 aluminum 6061 flat bar coupon,1,"est 13.20 in long x TBD wide x 0.375 in thick",derived_estimate,"Not cut-ready; use sacrificial test if trying metal first."
C007,P0,A4 1.5 in ID resonator,1,"est 6.47 in effective tube length",derived_estimate,"Quarter-wave estimate at 68 F; include trim adjustment."
C008,P0,C5 1.5 in ID resonator,1,"est 5.24 in effective tube length",derived_estimate,"Quarter-wave estimate at 68 F; include trim adjustment."
C009,P0,aperture insert plate,1,TBD,measurement_required,"Make inserts for A1 through A5 tests."
C010,P0,gasket,1,TBD,measurement_required,"Cut after aperture plate geometry is chosen."
C011,P1,13-note tone bars,13,"see tuning-targets-c4-c5.csv",derived_estimate,"Do not batch-cut until P0 correction factor exists."
C012,P1,13-note resonator bank,13,"see tuning-targets-c4-c5.csv",derived_estimate,"Do not final-cut until aperture coupling is measured."
C013,P1,voice cassette rails,2,TBD,measurement_required,"Locate bars, aperture plate, and platen datum."
C014,P1,selector rail,1,TBD,measurement_required,"Only after one-note hammer selector works."
